Symbol,Company Name
BAJAJFINSV,Bajaj Finserv Limited
BAJAJHCARE,Bajaj Healthcare Limited
BAJAJHFL,Bajaj Housing Finance Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BAJAJINDEF,Indef Manufacturing Limited
BAJFINANCE,Bajaj Finance Limited
BANCOINDIA,Banco Products (I) Limited
BANKINDIA,Bank Of India
BASF,Basf India Limited
BATAINDIA,Bata India Limited
BAYERCROP,Bayer Cropscience Limited
BBL,Bharat Bijlee Limited
BBTCL,B&B Triplewall Containers Limited
BDL,Bharat Dynamics Limited
BEL,Bharat Electronics Limited
BEML,Beml Limited
BGLOBAL,Bharatiya Global Infomedia Limited
BHAGYANGR,Bhagyanagar India Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BHARATRAS,Bharat Rasayan Limited
BHARATSE,Bharat Seats Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARTIARTL,Bharti Airtel Limited
BHARTIHEXA,Bharti Hexacom Limited
BHEL,Bharat Heavy Electricals Limited
BIL,Bhartiya International Limited
BIOCON,Biocon Limited
BIRLACORPN,Birla Corporation Limited
BIRLAMONEY,Aditya Birla Money Limited
BLAL,Beml Land Assets Limited
BLUECHIP,Blue Chip India Limited
BLUEJET,Blue Jet Healthcare Limited
BMWVENTLTD,Bmw Ventures Limited
BOROLTD,Borosil Limited
BOSCHLTD,Bosch Limited
BPCL,Bharat Petroleum Corporation Limited
BRITANNIA,Britannia Industries Limited
BRNL,Bharat Road Network Limited
BSOFT,Birlasoft Limited
BTML,Bodhi Tree Multimedia Limited
BYKE,The Byke Hospitality Ltd
CANBK,Canara Bank
CANTABIL,Cantabil Retail India Limited
CARRARO,Carraro India Limited
CASTROLIND,Castrol India Limited
CCL,Ccl Products (India) Limited
CDSL,Central Depository Services (India) Limited
CEATLTD,Ceat Limited
CEIGALL,Ceigall India Limited
CEMPRO,Cemindia Projects Limited
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTRALBK,Central Bank Of India
CENTURYPLY,Century Plyboards (India) Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHOLAFIN,Cholamandalam Investment And Finance Company Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CIEINDIA,Cie Automotive India Limited
CIFL,Capital India Finance Limited
CINELINE,Cineline India Limited
CIPLA,Cipla Limited
COALINDIA,Coal India Limited
COLPAL,Colgate Palmolive (India) Limited
CONCOR,Container Corporation Of India Limited
CONFIPET,Confidence Petroleum India Limited
CORALFINAC,Coral India Finance & Housing Limited
COROMANDEL,Coromandel International Limited
CREDITACC,Creditaccess Grameen Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
CUMMINSIND,Cummins India Limited
CYBERMEDIA,Cyber Media (India) Limited
DABUR,Dabur India Limited
DALBHARAT,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar And Industries Limited
DATAPATTNS,Data Patterns (India) Limited
DBEIL,Deepak Builders & Engineers India Limited
DBL,Dilip Buildcon Limited
DBREALTY,Valor Estate Limited
DCBBANK,Dcb Bank Limited
DCXINDIA,Dcx Systems Limited
DELTACORP,Delta Corp Limited
DELTAMAGNT,Delta Manufacturing Limited
DENORA,De Nora India Limited
DEVX,Dev Accelerator Limited
DHRUV,Dhruv Consultancy Services Limited
DICIND,Dic India Limited
DIL,Debock Industries Limited
DISHTV,Dish Tv India Limited
DIVISLAB,Divi'S Laboratories Limited
DIXON,Dixon Technologies (India) Limited
DLF,Dlf Limited
DLINKINDIA,D-Link (India) Limited
DNAMEDIA,Diligent Media Corporation Limited
DOLPHIN,Dolphin Offshore Enterprises (India) Limited
DPSCLTD,Dpsc Limited
DRCSYSTEMS,Drc Systems India Limited
DREDGECORP,Dredging Corporation Of India Limited
DRREDDY,Dr. Reddy'S Laboratories Limited
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited
EICHERMOT,Eicher Motors Limited
EIDPARRY,Eid Parry India Limited
EIFFL,Euro India Fresh Foods Limited
EIMCOELECO,Eimco Elecon (India) Limited
ELECTHERM,Electrotherm (India) Limited
EMAMILTD,Emami Limited
EMAMIREAL,Emami Realty Limited
EMIL,Electronics Mart India Limited
ENGINERSIN,Engineers India Limited
ENIL,Entertainment Network (India) Limited
ENRIN,Siemens Energy India Limited
ENTERO,Entero Healthcare Solutions Limited
ESABINDIA,Esab India Limited
ETHOSLTD,Ethos Limited
EVEREADY,Eveready Industries India Limited
EXCEL,Excel Realty N Infra Limited
EXIDEIND,Exide Industries Limited
FEDERALBNK,The Federal Bank  Limited
FIBERWEB,Fiberweb (India) Limited
FILATEX,Filatex India Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited.
FORCEMOT,Force Motors Ltd
FORTIS,Fortis Healthcare Limited
FOSECOIND,Foseco India Limited
GABRIEL,Gabriel India Limited
GAEL,Gujarat Ambuja Exports Limited
GAIL,Gail (India) Limited
GANDHAR,Gandhar Oil Refinery (India) Limited
GHCLTEXTIL,Ghcl Textiles Limited
GICRE,General Insurance Corporation Of India
GILLETTE,Gillette India Limited
GLAXO,Glaxosmithkline Pharmaceuticals Limited
GLENMARK,Glenmark Pharmaceuticals Limited
GLOBE,Globe Textiles (India) Limited
GLOSTERLTD,Gloster Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
GOCOLORS,Go Fashion (India) Limited
GODFRYPHLP,Godfrey Phillips India Limited
GODREJAGRO,Godrej Agrovet Limited
GODREJCP,Godrej Consumer Products Limited
GODREJIND,Godrej Industries Limited
GODREJPROP,Godrej Properties Limited
GOLDENTOBC,Golden Tobacco Limited
GOODLUCK,Goodluck India Limited
GPTHEALTH,Gpt Healthcare Limited
GRANULES,Granules India Limited
GRAPHITE,Graphite India Limited
GRASIM,Grasim Industries Limited
GRAVITA,Gravita India Limited
GRPLTD,Grp Limited
GSPL,Gujarat State Petronet Limited
GUJGASLTD,Gujarat Gas Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
GVPIL,Ge Power India Limited
GVT&D,Ge Vernova T&D India Limited
HAL,Hindustan Aeronautics Limited
HARDWYN,Hardwyn India Limited
HAVELLS,Havells India Limited
HCC,Hindustan Construction Company Limited
HCG,Healthcare Global Enterprises Limited
HCL-INSYS,Hcl Infosystems Limited
HCLTECH,Hcl Technologies Limited
HDFCAMC,Hdfc Asset Management Company Limited
HDFCBANK,Hdfc Bank Limited
HDFCLIFE,Hdfc Life Insurance Company Limited
HDIL,Housing Development And Infrastructure Limited
HEIDELBERG,Heidelbergcement India Limited
HEMIPROP,Hemisphere Properties India Limited
HEROMOTOCO,Hero Motocorp Limited
HEUBACHIND,Heubach Colorants India Limited
HEXT,Hexaware Technologies Limited
HILTON,Hilton Metal Forging Limited
HINDALCO,Hindalco Industries Limited
HINDCOMPOS,Hindustan Composites Limited
HINDCOPPER,Hindustan Copper Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
HINDUNILVR,Hindustan Unilever Limited
HINDZINC,Hindustan Zinc Limited
HLVLTD,Hlv Limited
HMVL,Hindustan Media Ventures Limited
HNDFDS,Hindustan Foods Limited
HOMEFIRST,Home First Finance Company India Limited
HONAUT,Honeywell Automation India Limited
HONDAPOWER,Honda India Power Products Limited
HUHTAMAKI,Huhtamaki India Limited
HYUNDAI,Hyundai Motor India Limited
ICDSLTD,Icds Limited
ICICIBANK,Icici Bank Limited
ICICIGI,Icici Lombard General Insurance Company Limited
ICICIPRULI,Icici Prudential Life Insurance Company Limited
IDBI,Idbi Bank Limited
IDFCFIRSTB,Idfc First Bank Limited
IEL,Indiabulls Enterprises Limited
IEX,Indian Energy Exchange Limited
IFCI,Ifci Limited
IGARASHI,Igarashi Motors India Limited
IGIL,International Gemmological Institute (India) Limited
IIFL,Iifl Finance Limited
IIFLCAPS,Iifl Capital Services Limited
IMFA,Indian Metals & Ferro Alloys Limited
IMPAL,India Motor Parts And Accessories Limited
INDHOTEL,The Indian Hotels Company Limited
INDIACEM,The India Cements Limited
INDIAGLYCO,India Glycols Limited
INDIAMART,Indiamart Intermesh Limited
INDIANB,Indian Bank
INDIANCARD,Indian Card Clothing Company Limited
INDIANHUME,Indian Hume Pipe Company Limited
INDIASHLTR,India Shelter Finance Corporation Limited
INDNIPPON,India Nippon Electricals Limited
INDORAMA,Indo Rama Synthetics (India) Limited
INDTERRAIN,Indian Terrain Fashions Limited
INFY,Infosys Limited
INGERRAND,Ingersoll Rand (India) Limited
INOXINDIA,Inox India Limited
INSECTICID,Insecticides (India) Limited
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation Limited
IONEXCHANG,Ion Exchange (India) Limited
IPL,India Pesticides Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
IREDA,Indian Renewable Energy Development Agency Limited
IRFC,Indian Railway Finance Corporation Limited
ITC,Itc Limited
ITCHOTELS,Itc Hotels Limited
ITDC,India Tourism Development Corporation Limited
JAICORPLTD,Jai Corp Limited
JAYBARMARU,Jay Bharat Maruti Limited
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
JINDALPHOT,Jindal Photo Limited
JINDALPOLY,Jindal Poly Films Limited
JINDALSAW,Jindal Saw Limited
JINDALSTEL,Jindal Steel Limited
JINDRILL,Jindal Drilling And Industries Limited
JINDWORLD,Jindal Worldwide Limited
JNKINDIA,Jnk India Limited
JPOLYINVST,Jindal Poly Investment And Finance Company Limited
JSL,Jindal Stainless Limited
JSWCEMENT,Jsw Cement Limited
JSWENERGY,Jsw Energy Limited
JSWHL,Jsw Holdings Limited
JSWINFRA,Jsw Infrastructure Limited
JSWSTEEL,Jsw Steel Limited
JTEKTINDIA,Jtekt India Limited
JUBLCPL,Jubilant Agri And Consumer Products Limited
JUBLFOOD,Jubilant Foodworks Limited
JUBLINGREA,Jubilant Ingrevia Limited
JUBLPHARMA,Jubilant Pharmova Limited
KALYANKJIL,Kalyan Jewellers India Limited
KAYNES,Kaynes Technology India Limited
KELLTONTEC,Kellton Tech Solutions Limited
KERNEX,Kernex Microsystems (India) Limited
KHADIM,Khadim India Limited
KHAITANLTD,Khaitan (India) Limited
KILITCH,Kilitch Drugs (India) Limited
KINGFA,Kingfa Science & Technology (India) Limited
KIOCL,Kiocl Limited
KOLTEPATIL,Kolte - Patil Developers Limited
KOTAKBANK,Kotak Mahindra Bank Limited
KREBSBIO,Krebs Biochemicals And Industries Limited
KRITI,Kriti Industries (India) Limited
KSOLVES,Ksolves India Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
LAXMIINDIA,Laxmi India Finance Limited
LEXUS,Lexus Granito (India) Limited
LGBBROSLTD,Lg Balakrishnan & Bros Limited
LGEINDIA,Lg Electronics India Limited
LICI,Life Insurance Corporation Of India
LINDEINDIA,Linde India Limited
LOTUSDEV,Sri Lotus Developers And Realty Limited
LOYALTEX,Loyal Textile Mills Limited
LT,Larsen & Toubro Limited
LTF,L&T Finance Limited
LTFOODS,Lt Foods Limited
LTIM,Ltimindtree Limited
LTTS,L&T Technology Services Limited
LUPIN,Lupin Limited
M&M,Mahindra & Mahindra Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
MAHEPC,Mahindra Epc Irrigation Limited
MAHLIFE,Mahindra Lifespace Developers Limited
MAHLOG,Mahindra Logistics Limited
MALLCOM,Mallcom (India) Limited
MANINDS,Man Industries (India) Limited
MANOMAY,Manomay Tex India Limited
MANUGRAPH,Manugraph India Limited
MAPMYINDIA,C.E. Info Systems Limited
MARATHON,Marathon Nextgen Realty Limited
MARINE,Marine Electricals (India) Limited
MARUTI,Maruti Suzuki India Limited
MAXHEALTH,Max Healthcare Institute Limited
MAXIND,Max India Limited
MAYURUNIQ,Mayur Uniquoters Ltd
MBAPL,Madhya Bharat Agro Products Limited
MCLEODRUSS,Mcleod Russel India Limited
MCX,Multi Commodity Exchange Of India Limited
MEDANTA,Global Health Limited
MEDIASSIST,Medi Assist Healthcare Services Limited
MEDPLUS,Medplus Health Services Limited
METROPOLIS,Metropolis Healthcare Limited
MHRIL,Mahindra Holidays & Resorts India Limited
MIDWESTLTD,Midwest Limited
MINDTECK,Mindteck (India) Limited
MITCON,Mitcon Consultancy & Engineering Services Limited
MODISONLTD,Modison Limited
MODTHREAD,Modern Threads (India) Limited
MPSLTD,Mps Limited
MSTCLTD,Mstc Limited
MSUMI,Motherson Sumi Wiring India Limited
MUKANDLTD,Mukand Limited
NAM-INDIA,Nippon Life India Asset Management Limited
NATHBIOGEN,Nath Bio-Genes (India) Limited
NAUKRI,Info Edge (India) Limited
NBCC,Nbcc (India) Limited
NECCLTD,North Eastern Carrying Corporation Limited
NESTLEIND,Nestle India Limited
NETWEB,Netweb Technologies India Limited
NH,Narayana Hrudayalaya Ltd.
NIACL,The New India Assurance Company Limited
NIITLTD,Niit Limited
NITCO,Nitco Limited
NIVABUPA,Niva Bupa Health Insurance Company Limited
NLCINDIA,Nlc India Limited
NTPC,Ntpc Limited
NTPCGREEN,Ntpc Green Energy Limited
NUVAMA,Nuvama Wealth Management Limited
OBEROIRLTY,Oberoi Realty Limited
OCCLLTD,Occl Limited
ODIGMA,Odigma Consultancy Solutions Limited
OIL,Oil India Limited
ONESOURCE,Onesource Specialty Pharma Limited
ONGC,Oil & Natural Gas Corporation Limited
ORIENTALTL,Oriental Trimex Limited
ORIENTLTD,Orient Press Limited
PFS,Ptc India Financial Services Limited
PGHH,Procter & Gamble Hygiene And Health Care Limited
PGHL,Procter & Gamble Health Limited
PHOENIXLTD,The Phoenix Mills Limited
PICCADIL,Piccadily Agro Industries Limited
PIDILITIND,Pidilite Industries Limited
PLASTIBLEN,Plastiblends India Limited
PNBGILTS,Pnb Gilts Limited
POLYCAB,Polycab India Limited
POWERGRID,Power Grid Corporation Of India Limited
POWERINDIA,Hitachi Energy India Limited
PRECWIRE,Precision Wires India Limited
PRICOLLTD,Pricol Limited
PROZONER,Prozone Realty Limited
PTC,Ptc India Limited
RADAAN,Radaan Mediaworks India Limited
RADHIKAJWE,Radhika Jeweltech Limited
RADIOCITY,Music Broadcast Limited
RAILTEL,Railtel Corporation Of India Limited
RAJRILTD,Raj Rayon Industries Limited
RALLIS,Rallis India Limited
RAYMONDREL,Raymond Realty Limited
RCOM,Reliance Communications Limited
RECLTD,Rec Limited
RELCHEMQ,Reliance Chemotex Industries Limited
RELIANCE,Reliance Industries Limited
RELINFRA,Reliance Infrastructure Limited
RELTD,Ravindra Energy Limited
REPRO,Repro India Limited
RHFL,Reliance Home Finance Limited
RHIM,Rhi Magnesita India Limited
RIIL,Reliance Industrial Infrastructure Limited
RITCO,Ritco Logistics Limited
ROHLTD,Royal Orchid Hotels Limited
ROLLT,Rollatainers Limited
ROLTA,Rolta India Limited
ROSSELLIND,Rossell India Limited
RPOWER,Reliance Power Limited
RSSOFTWARE,R. S. Software (India) Limited
RTNINDIA,Rattanindia Enterprises Limited
RTNPOWER,Rattanindia Power Limited
RUSTOMJEE,Keystone Realtors Limited
RVTH,Revathi Equipment India Limited
S&SPOWER,S&S Power Switchgears Limited
SAFARI,Safari Industries (India) Limited
SAIL,Steel Authority Of India Limited
SAILIFE,Sai Life Sciences Limited
SAKAR,Sakar Healthcare Limited
SAMPANN,Sampann Utpadan India Limited
SANGAMIND,Sangam (India) Limited
SANOFI,Sanofi India Limited
SANOFICONR,Sanofi Consumer Healthcare India Limited
SAPPHIRE,Sapphire Foods India Limited
SAREGAMA,Saregama India Limited
SATIN,Satin Creditcare Network Limited
SBICARD,Sbi Cards And Payment Services Limited
SBILIFE,Sbi Life Insurance Company Limited
SBIN,State Bank Of India
SCHAEFFLER,Schaeffler India Limited
SCI,Shipping Corporation Of India Limited
SCILAL,Shipping Corporation Of India Land And Assets Limited
SEAMECLTD,Seamec Limited
SECMARK,Secmark Consultancy Limited
SEJALLTD,Sejal Glass Limited
SGLTL,Standard Glass Lining Technology Limited
SHAKTIPUMP,Shakti Pumps (India) Limited
SHANTI,Shanti Overseas (India) Limited
SHAREINDIA,Share India Securities Limited
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
SHREERAMA,Shree Rama Multi-Tech Limited
SHYAMCENT,Shyam Century Ferrous Limited
SIGNATURE,Signatureglobal (India) Limited
SIGNPOST,Signpost India Limited
SINTERCOM,Sintercom India Limited
SIRCA,Sirca Paints India Limited
SKFINDIA,Skf India Limited
SKMEGGPROD,Skm Egg Products Export (India) Limited
SMLT,Sarthak Metals Limited
SMSLIFE,Sms Lifesciences India Limited
SOLARINDS,Solar Industries India Limited
SOMICONVEY,Somi Conveyor Beltings Limited
SONAMLTD,Sonam Limited
SOUTHBANK,The South Indian Bank Limited
SPARC,Sun Pharma Advanced Research Company Limited
SPCENET,Spacenet Enterprises India Limited
SPORTKING,Sportking India Limited
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
STALLION,Stallion India Fluorochemicals Limited
STARHEALTH,Star Health And Allied Insurance Company Limited
STCINDIA,The State Trading Corporation Of India Limited
STEELXIND,Steel Exchange India Limited
STLTECH,Sterlite Technologies Limited
SUBEXLTD,Subex Limited
SUMICHEM,Sumitomo Chemical India Limited
SUNDARAM,Sundaram Multi Pap Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
SUNTECK,Sunteck Realty Limited
SUPREME,Supreme Holdings & Hospitality (India) Limited
SUPREMEINF,Supreme Infrastructure India Limited
SURAJLTD,Suraj Limited
SYNCOMF,Syncom Formulations (India) Limited
TARIL,Transformers And Rectifiers (India) Limited
TATACAP,Tata Capital Limited
TATACHEM,Tata Chemicals Limited
TATACOMM,Tata Communications Limited
TATACONSUM,Tata Consumer Products Limited
TATAELXSI,Tata Elxsi Limited
TATAINVEST,Tata Investment Corporation Limited
TATAPOWER,Tata Power Company Limited
TATASTEEL,Tata Steel Limited
TATATECH,Tata Technologies Limited
TCI,Transport Corporation Of India Limited
TCS,Tata Consultancy Services Limited
TEAMGTY,Team India Guaranty Limited
TECHM,Tech Mahindra Limited
TFCILTD,Tourism Finance Corporation Of India Limited
THEINVEST,The Investment Trust Of India Limited
THOMASCOOK,Thomas Cook  (India)  Limited
THOMASCOTT,Thomas Scott (India) Limited
TIGERLOGS,Tiger Logistics (India) Limited
TIIL,Technocraft Industries (India) Limited
TIINDIA,Tube Investments Of India Limited
TIMKEN,Timken India Limited
TMPV,Tata Motors Passenger Vehicles Limited
TREEHOUSE,Tree House Education & Accessories Limited
TREL,Transindia Real Estate Limited
TRUALT,Trualt Bioenergy Limited
TTKHLTCARE,Ttk Healthcare Limited
TTML,Tata Teleservices (Maharashtra) Limited
TVSHLTD,Tvs Holdings Limited
UFO,Ufo Moviez India Limited
ULTRACEMCO,Ultratech Cement Limited
UMESLTD,Usha Martin Education & Solutions Limited
UNIONBANK,Union Bank Of India
UNIPARTS,Uniparts India Limited
UNIVASTU,Univastu India Limited
VADILALIND,Vadilal Industries Limited
VEDL,Vedanta Limited
VENKEYS,Venky'S (India) Limited
VESUVIUS,Vesuvius India Limited
VETO,Veto Switchgears And Cables Limited
VHLTD,Viceroy Hotels Limited
VIDHIING,Vidhi Specialty Food Ingredients Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
VIPULLTD,Vipul Limited
VOLTAMP,Voltamp Transformers Limited
VOLTAS,Voltas Limited
WCIL,Western Carriers (India) Limited
WEALTH,Wealth First Portfolio Managers Limited
WENDT,Wendt (India) Limited
WEWORK,Wework India Management Limited
WHEELS,Wheels India Limited
WHIRLPOOL,Whirlpool Of India Limited
WIPL,The Western India Plywoods Limited
WIPRO,Wipro Limited
WSTCSTPAPR,West Coast Paper Mills Limited
XPROINDIA,Xpro India Limited
YUKEN,Yuken India Limited
ZFCVINDIA,Zf Commercial Vehicle Control Systems India Limited
ZOTA,Zota Health Care Limited
